commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P11_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
94071,Sucy-en-Brie,SPIDO,Georges,M,LDVD,TOUS ENSEMBLE POUR SUCY,1729,,25655.0,52.16,47.84,19.41,17.86,18.71,21.9,14.62,7.5,18.05,17.76,20.79,8.29
94071,Sucy-en-Brie,VILLE,Michèle,F,LUG,SUCY ENVIE D'AVENIR,2682,,25655.0,52.16,47.84,19.41,17.86,18.71,21.9,14.62,7.5,18.05,17.76,20.79,8.29
94075,Villecresnes,GRAVELLE,Pierre-Jean,M,LMAJ,ENSMBLE POUR VILLECRESNES,1645,,9712.0,51.87,48.13,19.55,17.49,20.17,22.58,13.67,6.54,22.49,18.71,12.72,6.25
94075,Villecresnes,WAPPLER,Daniel,M,LDVD,VILLECRESNES AUTREMENT,2232,,9712.0,51.87,48.13,19.55,17.49,20.17,22.58,13.67,6.54,22.49,18.71,12.72,6.25
94076,Villejuif,ROLLIN-COUTANT,Jeanine,F,LVEC,A VILLEJUIF UNE AUTRE GAUCHE EST POSSIBLE,1729,,55923.0,51.42,48.58,19.67,23.46,21.95,19.04,9.98,5.89,17.46,18.17,16.91,14.25
94076,Villejuif,HAREL,Jean-François,M,LDVD,LIBERTÉ POUR VILLEJUIF,3798,,55923.0,51.42,48.58,19.67,23.46,21.95,19.04,9.98,5.89,17.46,18.17,16.91,14.25
94076,Villejuif,CARVALHO,Jorge,M,LCMD,ALTERNATIVE SOCIALE-DÉMOCRATE POUR VILLEJUIF,1689,,55923.0,51.42,48.58,19.67,23.46,21.95,19.04,9.98,5.89,17.46,18.17,16.91,14.25
94076,Villejuif,CORDILLOT,Claudine,F,LCOM,VILLEJUIF POUR TOUS,6535,,55923.0,51.42,48.58,19.67,23.46,21.95,19.04,9.98,5.89,17.46,18.17,16.91,14.25
94077,Villeneuve-le-Roi,CHAMAULT,Eric,M,LUG,"RASSEMBLES, UNIS ET SOLIDAIRES",3068,,18610.0,51.38,48.62,20.27,19.82,20.56,20.17,11.91,7.27,23.42,15.41,8.86,12.07
94077,Villeneuve-le-Roi,GONZALES,Didier,M,LMAJ,BIEN VIVRE A VILLENEUVE,3464,,18610.0,51.38,48.62,20.27,19.82,20.56,20.17,11.91,7.27,23.42,15.41,8.86,12.07
94078,Villeneuve-Saint-Georges,JOLY,Dominique,M,LFN,VILLENEUVE SAINT GEORGES SÉCURITÉ SOUTENUE PARLE FRONT NATIONAL,595,,32767.0,49.76,50.24,22.78,23.6,21.58,18.27,8.64,5.13,20.74,18.92,8.06,16.68
94078,Villeneuve-Saint-Georges,ALTMAN,Sylvie,F,LUG,GAUCHE UNIE POUR VILLENEUVE,3615,,32767.0,49.76,50.24,22.78,23.6,21.58,18.27,8.64,5.13,20.74,18.92,8.06,16.68
94078,Villeneuve-Saint-Georges,GAUDIN,Philippe,M,LMAJ,AGIR POUR VILLENEUVE SAINT GEORGES,3088,,32767.0,49.76,50.24,22.78,23.6,21.58,18.27,8.64,5.13,20.74,18.92,8.06,16.68
94079,Villiers-sur-Marne,DOUSSET,Didier,M,LCMD,"VILLIERS 2008, FAISONS ENSEMBLE UNE VILLE QUI NOUS RESSEMBLE",1169,,27222.0,52.5,47.5,20.66,18.85,22.79,19.31,11.64,6.75,18.36,18.17,15.55,10.46
94079,Villiers-sur-Marne,ABRAHAM-THISSE,Simone,F,LUG,VILLIERS DYNAMIQUE,3495,,27222.0,52.5,47.5,20.66,18.85,22.79,19.31,11.64,6.75,18.36,18.17,15.55,10.46
94079,Villiers-sur-Marne,BÉNISTI,Jacques-Alain,M,LMAJ,POURVUIVRE ENSEMBLE LE REUSSITE DE VILLIERS,4206,,27222.0,52.5,47.5,20.66,18.85,22.79,19.31,11.64,6.75,18.36,18.17,15.55,10.46
